Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
199;Jarace Walker;PF;20;IND;9;0;03.;0.3;01.;0.3;0;0.3;0;0.3;0.8;0.429;0.3;0.2;0.3;0.667;0.1;0.3;0.4;0.4;0.2;0.1;0.7;0.2;0.9
200;Cason Wallace;SG;20;OKC;10;0;19.;01.;04.;0.39;0.9;02.;0.321;0.7;01.;0.538;0.5;0.1;0.2;0.5;0.7;0.6;01.;1;0.9;0.2;0.4;01.;04.
201;Jordan Walsh;SF;19;BOS;3;0;03.;0.3;1;0.333;0;0.3;0;0.3;0.7;0.5;0.333;0;0;0;0;0.7;0.7;0;0;0;0;0;0.7
202;T.J. Warren;SF;30;MIN;3;0;03.;0;0.7;0;0;0.3;0;0;0.3;0;0;0;0;0;0.7;0.3;1;0.3;0;0;0;0;0
203;P.J. Washington;PF;25;DAL;22;22;35.7;04.;10.;0.427;02.;06.;0.348;02.;04.;0.535;0.528;01.;02.;0.709;01.;05.;06.;01.;0.7;0.8;01.;3;13
204;Lindy Waters III;SG;26;OKC;3;0;3;0;0.3;0;0;0.3;0;0;0;0;0;0;0;0;0;0.3;0.3;0;0;0;0;0;0
205;Peyton Watson;SF;21;DEN;10;0;9;0.6;02.;0.25;0.3;01.;0.25;0.3;01.;0.25;0.313;0.3;0.6;0.5;0.2;01.;01.;0.4;0;0.6;0.3;0.9;01.
206;Russell Westbrook;PG;35;LAC;6;0;19;02.;08.;0.26;0.7;02.;0.235;01.;05.;0.273;0.3;01.;02.;0.615;1;03.;04.;01.;01.;0.5;01.;01.;06.
207;Derrick White;SG;29;BOS;19;19;35.6;05.;12.;0.452;03.;08.;0.404;02.;04.;0.55;0.587;01.;2;0.921;1;03.;04.;04.;0.9;01.;0.8;02.;16.
208;Aaron Wiggins;SG;25;OKC;10;0;15.;02.;04.;0.489;0.6;2;0.3;01.;02.;0.63;0.553;1;01.;0.909;0.9;02.;03.;1;0.6;0.3;0.9;0.8;06.
209;Jalen Williams;PF;22;OKC;10;10;37.7;07.;16;0.469;01.;03.;0.385;6;12.;0.496;0.516;02.;02.;0.815;01.;05.;06.;05.;01.;0.5;01.;02.;18.
210;Jaylin Williams;C;21;OKC;10;0;12.;01.;03.;0.485;0.9;02.;0.409;0.7;01.;0.636;0.621;0.3;0.4;0.75;0.4;02.;03.;01.;0.4;0.3;0.3;01.;04.
211;Kenrich Williams;PF;29;OKC;7;0;04.;0.3;01.;0.25;0;0.7;0;0.3;0.4;0.667;0.25;0;0;0;0.1;1;01.;0.4;0.1;0;0;0.4;0.6
212;Delon Wright;PG;31;MIA;4;1;26.;3;5;0.6;01.;02.;0.6;01.;02.;0.6;0.75;0.5;0.5;1;0.5;02.;3;01.;1;0.3;0;01.;8
213;Thaddeus Young;PF;35;PHO;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214;Ivica Zubac;C;26;LAC;6;6;32;7;11.;0.6;0;0;0;7;11.;0.6;0.6;02.;03.;0.65;3;06.;09.;1;0.8;0.5;01.;03.;16.
