Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
91;Isaiah Jackson;C;22;IND;15;0;10.;01.;02.;0.535;0;0;0;01.;02.;0.535;0.535;0.7;01.;0.611;01.;01.;03.;0.5;0.2;0.9;0.3;01.;03.
92;Reggie Jackson;PG;33;DEN;12;0;09.;01.;4;0.333;0.7;01.;0.348;0.7;02.;0.32;0.417;0.2;0.2;1;0.2;01.;01.;1;0.2;0.1;0.7;1;03.
93;LeBron James;PF;39;LAL;5;5;40.8;11.;19.;0.566;2;05.;0.385;09.;14.;0.63;0.616;03.;04.;0.739;0.8;6;06.;08.;02.;1;03.;02.;27.
94;Jaime Jaquez Jr.;SF;22;MIA;4;4;30.;05.;13;0.404;0.8;03.;0.231;04.;09.;0.462;0.433;01.;01.;0.857;0.5;02.;03.;3;0.8;0.5;01.;01.;12.
95;DaQuan Jeffries;SG;26;NYK;4;0;5;0.8;2;0.375;0.5;01.;0.4;0.3;0.8;0.333;0.5;0;0;0;0.3;0.8;1;0;0.3;0;0;0.5;2
96;Isaiah Joe;SG;24;OKC;10;2;17.;02.;05.;0.444;01.;03.;0.41;0.8;01.;0.533;0.593;0;0;0;0.4;01.;02.;1;0.5;0;0.5;1;06.
97;James Johnson;PF;36;IND;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0.5;0;0;0;0;0;0;1;0;1
98;Nikola Joki?;C;28;DEN;12;12;40.2;11.;20.;0.545;01.;04.;0.264;09.;15.;0.623;0.574;05.;05.;0.901;03.;09.;13.;08.;01.;0.7;03.;02.;28.
99;Damian Jones;C;28;CLE;2;0;04.;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;1;1;0;0.5;1;0;0
100;Derrick Jones Jr.;SF;26;DAL;22;22;29.;03.;07.;0.481;01.;3;0.369;02.;04.;0.558;0.556;1;01.;0.733;01.;2;03.;01.;0.5;1;0.8;02.;09.
101;Herbert Jones;SF;25;NOP;4;4;35.3;4;10.;0.39;2;6;0.333;2;04.;0.471;0.488;3;3;1;01.;03.;5;02.;01.;0.3;02.;03.;13
102;DeAndre Jordan;C;35;DEN;2;0;06.;0.5;1;0.5;0;0;0;0.5;1;0.5;0.5;1;1;1;0.5;1;01.;0;0.5;0.5;0;2;2
103;Nikola Jovi?;PF;20;MIA;5;5;25.;03.;07.;0.444;01.;04.;0.409;01.;02.;0.5;0.569;01.;01.;0.857;0.4;06.;06.;02.;1;0.6;01.;01.;09.
104;Maxi Kleber;C;32;DAL;13;0;16.;01.;3;0.41;0.9;02.;0.429;0.3;0.8;0.364;0.564;0.3;0.5;0.667;0.3;01.;01.;1;0.2;0.3;0.4;01.;03.
105;Luke Kornet;C;28;BOS;13;0;10.;01.;01.;0.667;0;0;0;01.;01.;0.667;0.667;0.8;1;0.846;01.;01.;03.;0.5;0.1;0.4;0.5;0.8;3
106;A.J. Lawson;SG;23;DAL;10;0;3;0.4;0.9;0.444;0.2;0.6;0.333;0.2;0.3;0.667;0.556;0.1;0.2;0.5;0.1;0.2;0.3;0;0;0.1;0;0.1;01.
107;Kawhi Leonard;SF;32;LAC;2;2;29.;05.;12;0.458;0;02.;0;05.;09.;0.579;0.458;1;01.;0.667;01.;06.;8;2;2;0.5;2;01.;12
108;Caris LeVert;SG;29;CLE;11;1;25.;4;09.;0.431;0.5;3;0.182;03.;06.;0.551;0.461;01.;02.;0.654;0.7;02.;03.;02.;0.8;0.5;01.;01.;10.
109;E.J. Liddell;PF;23;NOP;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
110;Damian Lillard;PG;33;MIL;4;4;39;08.;20.;0.42;5;12;0.417;03.;08.;0.424;0.543;09.;09.;0.974;0.5;02.;03.;5;1;0;02.;2;31.
111;Nassir Little;SF;23;PHO;4;0;03.;0.8;01.;0.6;0.3;0.8;0.333;0.5;0.5;1;0.7;0;0;0;0;0.3;0.3;0;0;0;0;0.5;01.
112;Dereck Lively II;C;19;DAL;21;0;22;3;04.;0.674;0;0;1;3;04.;0.67;0.679;01.;02.;0.59;02.;04.;07.;01.;0.4;1;1;02.;07.
113;Chris Livingston;SF;20;MIL;2;0;3;0.5;0.5;1;0;0;0;0.5;0.5;1;1;0;01.;0;0;0;0;0;0;0;0;0;1
114;Brook Lopez;C;35;MIL;6;6;33.3;07.;12.;0.587;01.;03.;0.435;05.;08.;0.654;0.653;01.;02.;0.533;01.;02.;04.;01.;0;01.;01.;01.;17.
115;Kevin Love;PF;35;MIA;5;0;06.;0.8;01.;0.444;0.2;0.8;0.25;0.6;1;0.6;0.5;0;0;0;0.2;02.;02.;0.8;0;0;0.4;0.4;01.
116;Kyle Lowry;PG;37;PHI;6;6;29.;01.;05.;0.344;01.;4;0.333;0.5;01.;0.375;0.469;2;02.;0.8;1;02.;03.;4;1;0.7;0.7;03.;7
117;Terance Mann;SG;27;LAC;6;6;31.2;03.;07.;0.413;01.;03.;0.455;01.;4;0.375;0.522;01.;01.;1;02.;02.;5;01.;0;0;0.8;03.;09.
118;Naji Marshall;SF;26;NOP;4;0;21;3;7;0.429;01.;03.;0.4;01.;03.;0.462;0.536;01.;01.;1;0.8;2;02.;01.;0.5;0.5;0.5;02.;9
119;Caleb Martin;SF;28;MIA;5;5;35.2;04.;9;0.467;02.;5;0.44;2;4;0.5;0.589;1;1;1;1;02.;03.;01.;0.6;0;0.6;02.;11.
120;Tyrese Maxey;PG;23;PHI;6;6;44.5;11;23;0.478;03.;09.;0.4;07.;13.;0.53;0.558;04.;04.;0.893;0.2;5;05.;06.;0.8;0.3;02.;02.;29.
121;Miles McBride;PG;23;NYK;13;2;26.;04.;09.;0.435;01.;05.;0.368;02.;04.;0.518;0.536;0.8;0.9;0.833;0.5;01.;02.;01.;0.5;0.2;0.8;02.;11
122;CJ McCollum;PG;32;NOP;4;4;37;07.;18.;0.419;01.;07.;0.241;6;11.;0.533;0.466;0.5;0.5;1;0.5;04.;04.;04.;01.;0.8;4;03.;17.
123;T.J. McConnell;PG;31;IND;17;0;20.;05.;10.;0.486;0.4;01.;0.269;04.;09.;0.522;0.505;0.8;0.9;0.867;0.6;02.;03.;05.;0.9;0.1;01.;01.;11.
124;Jaden McDaniels;SF;23;MIN;16;16;33.6;04.;08.;0.514;01.;03.;0.429;3;05.;0.571;0.6;01.;02.;0.771;01.;02.;03.;01.;0.9;01.;01.;03.;12.
125;Doug McDermott;SF;32;IND;10;0;06.;0.5;01.;0.455;0.3;0.8;0.375;0.2;0.3;0.667;0.591;0;0;0;0.2;0.1;0.3;0.7;0;0.2;0.1;0.5;01.
